Tipo;Endereco;CEP;UF;Bairro;Numeracao;Localidade;;
RUA;ABEL FERREIRA LEITE;17600700;SP;VILA LAHOZ;- ATÉ 350/351;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ABEL FERREIRA LEITE','17600700','SP','VILA LAHOZ','- ATÉ 350/351','TUPA'); "
RUA;ABEL FERREIRA LEITE;17603050;SP;VILA TUPÃ MIRIM I;- DE 352/353 AO FIM;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ABEL FERREIRA LEITE','17603050','SP','VILA TUPÃ MIRIM I','- DE 352/353 AO FIM','TUPA'); "
RUA;ABÍLIO MIGUEL SAPAG;17602484;SP;JARDIM ITAIPU;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ABÍLIO MIGUEL SAPAG','17602484','SP','JARDIM ITAIPU','','TUPA'); "
RUA;PIONEIRO ABÍLIO PEDRO DE SOUZA;17602721;SP;CONJUNTO HABITACIONAL VEREADOR JOAQUIM RIBEIRO PORTO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ABÍLIO PEDRO DE SOUZA','17602721','SP','CONJUNTO HABITACIONAL VEREADOR JOAQUIM RIBEIRO PORTO','','TUPA'); "
RUA;ABUD GANTUS;17603760;SP;JARDIM SANTA ADÉLIA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ABUD GANTUS','17603760','SP','JARDIM SANTA ADÉLIA','','TUPA'); "
PRAÇA;ADAIR DE OLIVEIRA;17604232;SP;VILA DAS INDÚSTRIAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('PRAÇA','ADAIR DE OLIVEIRA','17604232','SP','VILA DAS INDÚSTRIAS','','TUPA'); "
RUA;ADAMANTINA;17605470;SP;JARDIM PAULISTA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADAMANTINA','17605470','SP','JARDIM PAULISTA','','TUPA'); "
RUA;DONA ADÉLIA;17602370;SP;PARQUE MARIA CRISTINA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','DONA ADÉLIA','17602370','SP','PARQUE MARIA CRISTINA','','TUPA'); "
RUA;ADELINO CARLOS LOURENÇO;17602683;SP;JARDIM UNESP;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADELINO CARLOS LOURENÇO','17602683','SP','JARDIM UNESP','','TUPA'); "
RUA;ADELINO PAULIO VIVI;17607498;SP;JARDIM DAS ÁGUAS;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADELINO PAULIO VIVI','17607498','SP','JARDIM DAS ÁGUAS','','TUPA'); "
RUA;ADÉLIO DA SILVA MOREIRA;17602481;SP;JARDIM ITAIPU;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADÉLIO DA SILVA MOREIRA','17602481','SP','JARDIM ITAIPU','','TUPA'); "
RUA;ADOLFO DANTAS;17607111;SP;JARDIM RESIDENCIAL TOLEDO VILLE;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADOLFO DANTAS','17607111','SP','JARDIM RESIDENCIAL TOLEDO VILLE','','TUPA'); "
RUA;ADOLPHO DANTAS;17607300;SP;JARDIM IPIRANGA;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','ADOLPHO DANTAS','17607300','SP','JARDIM IPIRANGA','','TUPA'); "
RUA;PIONEIRO ADOLPHO GIROTTO;17603835;SP;CONJUNTO HABITACIONAL PIONEIRO JOSÉ FELICIANO;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','PIONEIRO ADOLPHO GIROTTO','17603835','SP','CONJUNTO HABITACIONAL PIONEIRO JOSÉ FELICIANO','','TUPA'); "
RUA;DOMÉSTICA ADRIANA RODRIGUES RIBEIRO;17610458;SP;CONJUNTO HABITACIONAL DEPUTADO JAMIL DUALIBI;;TUPA;;"INSERT INTO #TBTMP (Tipo,Endereco,CEP,UF,Bairro,Numeracao,Localidade) VALUE ('RUA','DOMÉSTICA ADRIANA RODRIGUES RIBEIRO','17610458','SP','CONJUNTO HABITACIONAL DEPUTADO JAMIL DUALIBI','','TUPA'); "
